studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9596,1995-11-21,TOR,18.0,258
PAL9596,1995-11-21,TOR,19.0,517
PAL9596,1995-11-21,TOR,20.0,178
PAL9596,1995-11-21,TOR,21.0,126
PAL9596,1995-11-21,TOR,22.0,89
PAL9596,1995-11-21,TOR,23.0,205
PAL9596,1995-11-21,TOR,23.1,24
PAL9596,1995-11-22,CHR,1.0,208
PAL9596,1995-11-22,CHR,2.0,61
PAL9596,1995-11-22,CHR,3.0,70
PAL9596,1995-11-22,CHR,3.1,49
PAL9596,1995-11-22,CHR,4.1,7
PAL9596,1995-11-22,CHR,4.2,7
PAL9596,1995-11-22,CHR,5.0,41
PAL9596,1995-11-22,CHR,6.0,106
PAL9596,1995-11-22,CHR,7.0,307
PAL9596,1995-11-22,CHR,7.1,24
PAL9596,1995-11-22,CHR,7.2,66
PAL9596,1995-11-22,CHR,8.0,156
PAL9596,1995-11-22,CHR,9.1,35
PAL9596,1995-11-22,CHR,10.0,6
PAL9697,1996-11-18,TOR,17.0,10
PAL9697,1996-11-18,TOR,18.0,218
PAL9697,1996-11-18,TOR,19.0,396
PAL9697,1996-11-18,TOR,20.0,139
PAL9697,1996-11-18,TOR,21.0,89
PAL9697,1996-11-18,TOR,22.0,64
PAL9697,1996-11-19,HUM,1.1,2
PAL9697,1996-11-19,HUM,1.2,16
PAL9697,1996-11-19,HUM,1.3,4
PAL9697,1996-11-19,HUM,2.1,98
PAL9697,1996-11-19,HUM,2.2,48
PAL9697,1996-11-19,HUM,3.0,197
PAL9697,1996-11-19,HUM,3.1,2
PAL9697,1996-11-19,HUM,4.0,102
PAL9697,1996-11-19,HUM,5.0,236
PAL9697,1996-11-19,LIT,1.0,10
PAL9697,1996-11-19,LIT,2.0,19
PAL9697,1996-11-19,LIT,3.0,0
PAL9697,1996-11-19,LIT,4.0,18
PAL9697,1996-11-19,LIT,5.0,60
PAL9697,1996-11-19,LIT,6.0,85
PAL9697,1996-11-19,LIT,7.0,47
PAL9697,1996-11-19,LIT,8.0,90
PAL9697,1996-11-19,LIT,9.0,17
PAL9697,1996-11-19,TOR,1.0,71
PAL9697,1996-11-19,TOR,2.0,19
PAL9697,1996-11-19,TOR,3.0,8
PAL9697,1996-11-19,TOR,4.0,162
